% Model:              sin_rho_nogr_iter1_epsilon3_revised.mph
% Version:            COMSOL 6.0.0.318
% Date:               Feb 27 2024, 02:42
% Dimension:          2
% Nodes:              43229
% Expressions:        1
% Description:        Surface
% cpl5x                   cpl5y                    Electric potential
3.973460209353155E-8      3.969251114284399E-8     0
3.9598503515211396E-8     4.0E-8                   0
3.933310560874295E-8      3.969251114284399E-8     0
3.946920418706311E-8      3.938502228568798E-8     0
4.0E-8                    4.0E-8                   0
3.919700703042279E-8      4.0E-8                   0
4.0E-8                    3.9598506973848554E-8    0
3.973460209353155E-8      3.929101811669254E-8     0
4.0E-8                    3.9197013947697107E-8    0
3.909574426797788E-8      3.9318870927237664E-8    0
3.8959645689657715E-8     3.9626359784393675E-8    0
3.8722284348892645E-8     3.925271956878735E-8     0
3.854269290890506E-8      3.9626359784393675E-8    0
3.878005424967013E-8      4.0E-8                   0
3.836310146891747E-8      4.0E-8                   0
3.9442249476825174E-8     3.906758932954335E-8     0
3.906878955773994E-8      3.9001437971093036E-8    0
3.941529476658723E-8      3.875015637339873E-8     0
3.9707647383293616E-8     3.8973585160547914E-8    0
4.0E-8                    3.878006153914375E-8     0
3.9707647383293616E-8     3.855663275199456E-8     0
4.0E-8                    3.836310913059039E-8     0
3.827834478637798E-8      3.9309533851534947E-8    0
3.80987533463904E-8       3.968317406714127E-8     0
3.783440522386332E-8      3.9366348134282544E-8    0
3.7681763071393065E-8     3.9683174067141266E-8    0
3.794611119392014E-8      4.0E-8                   0
3.7529120918922814E-8     3.9999999999999994E-8    0
3.7959071150652164E-8     3.903564017166293E-8     0
3.840301071316683E-8      3.8978825888915333E-8    0
3.808373707744102E-8      3.870493220904332E-8     0
3.869954397220331E-8      3.879275269666978E-8     0
3.83802703364775E-8       3.851885901679776E-8     0
3.867680359551398E-8      3.833278582455221E-8     0
3.90460491810506E-8       3.854147109897547E-8     0
3.935431116311789E-8      3.834033186334971E-8     0
3.898506557758127E-8      3.8131646588926444E-8    0
3.929332755964855E-8      3.793050735330069E-8     0
3.964666377982428E-8      3.8146808241945534E-8    0
4.0E-8                    3.794611885559306E-8     0
3.964666377982428E-8      3.7729817966948214E-8    0
4.0E-8                    3.7529128580595735E-8    0
3.744912450392848E-8      3.93549612477098E-8      0
3.729648235145822E-8      3.967178718056852E-8     0
3.706384378399364E-8      3.9343574361137045E-8    0
3.6879492076460903E-8     3.967178718056852E-8     0
3.711213064392549E-8      4.0E-8                   0
3.669514036892817E-8      4.0E-8                   0
3.7253579562302576E-8     3.9003499432767614E-8    0
3.763886028223741E-8      3.901488631934036E-8     0
3.744331534061151E-8      3.866342450439818E-8     0
3.776352620902626E-8      3.868417835672075E-8     0
3.963905799319415E-8      3.732063344309707E-8     0
3.9285721773018426E-8     3.752132282944955E-8     0
3.92781159863883E-8       3.711213830559841E-8     0
4.0E-8                    3.7112138305598416E-8    0
3.963905799319415E-8      3.690364316809975E-8     0
4.0E-8                    3.6695148030601096E-8    0
3.827107087499237E-8      3.813152980610785E-8     0
3.797453761595589E-8      3.83176029983534E-8      0
3.786533815447076E-8      3.793027378766349E-8     0
3.765432674754114E-8      3.829684914603083E-8     0
3.8930495254543804E-8     3.730571047669637E-8     0
3.893810104117393E-8      3.771489500054751E-8     0
3.858287452269931E-8      3.749928264779433E-8     0
3.8224106338585035E-8     3.771477821772891E-8     0
3.862983905910664E-8      3.791603423617327E-8     0
3.665371286583736E-8      3.93281914214527E-8      0
3.646936115830463E-8      3.9656404240884184E-8    0
3.6243581947681094E-8     3.9312808481768366E-8    0
3.605237088330731E-8      3.9656404240884184E-8    0
3.627815009393084E-8      4.0E-8                   0
3.5861159818933516E-8     4.0E-8                   0
3.963905799319415E-8      3.648665289310243E-8     0
3.92781159863883E-8       3.669514803060108E-8     0
3.92781159863883E-8       3.6278157755603764E-8    0
4.0E-8                    3.6278157755603764E-8    0
3.963905799319415E-8      3.60696626181051E-8      0
4.0E-8                    3.586116748060643E-8     0
3.6457068754860465E-8     3.895009768277601E-8     0
3.686719967301674E-8      3.8965480622460345E-8    0
3.667055556203984E-8      3.8587386883783646E-8    0
3.705693545132568E-8      3.862540569409091E-8     0
3.7486316012720745E-8     3.8020896146210566E-8    0
3.7275304605791114E-8     3.838747150457791E-8     0
3.710729387097072E-8      3.811151850475765E-8     0
3.6888924716505285E-8     3.834945269427065E-8     0
3.8917173979582456E-8     3.690364316809975E-8     0
3.856955324773796E-8      3.709721533919771E-8     0
3.8556231972776605E-8     3.669514803060108E-8     0
3.8917173979582456E-8     3.6486652893102423E-8    0
3.7130584755207075E-8     3.777486910123651E-8     0
3.75096068969571E-8       3.768424674268943E-8     0
3.7153875639443436E-8     3.7438219697715367E-8    0
3.82201537674663E-8       3.7288162358105726E-8    0
3.7861385583352025E-8     3.750365792804031E-8     0
3.785743301223329E-8      3.707704206841712E-8     0
3.750565432583836E-8      3.725763088306624E-8     0
3.8206832492504943E-8     3.6886095049509106E-8    0
3.544416954393619E-8      4.0E-8                   0
3.565266468143485E-8      3.963905799319415E-8     0
3.523567440643753E-8      3.963905799319415E-8     0
3.544416954393619E-8      3.92781159863883E-8      0
3.5027179268938864E-8     4.0E-8                   0
3.584387574580864E-8      3.929546223407833E-8     0
3.963905799319415E-8      3.5652672343107765E-8    0
3.92781159863883E-8       3.586116748060643E-8     0
3.92781159863883E-8       3.54441772056091E-8      0
4.0E-8                    3.54441772056091E-8      0
3.963905799319415E-8      3.523568206811043E-8     0
4.0E-8                    3.502718693061177E-8     0
3.605212632030334E-8      3.892401819861139E-8     0
3.56524201184309E-8       3.8906671950921356E-8    0
3.58606706929256E-8       3.853522791545441E-8     0
3.626561312748272E-8      3.8561307399619026E-8    0
3.891717397958245E-8      3.5652672343107765E-8    0
3.891717397958245E-8      3.60696626181051E-8      0
3.85562319727766E-8       3.5861167480606424E-8    0
3.85562319727766E-8       3.627815775560375E-8     0
3.673910012304333E-8      3.796354293901194E-8     0
3.6520730968577894E-8     3.820147712852494E-8     0
3.6370906375115944E-8     3.7815567373266234E-8    0
3.676239100727969E-8      3.76268935354908E-8      0
3.611578853402077E-8      3.8175397644360324E-8    0
3.783589645771395E-8      3.665847890729829E-8     0
3.8185295937985604E-8     3.646753188839027E-8     0
3.78143599031946E-8       3.6239915746179456E-8    0
3.8185295937985604E-8     3.605054161339294E-8     0
3.686651569749063E-8      3.725024879171863E-8     0
3.647503106532689E-8      3.743892262949407E-8     0
3.657915575553783E-8      3.70622778857219E-8      0
3.7496329937043316E-8     3.685342726212923E-8     0
3.747479338252397E-8      3.643486410101039E-8     0
3.7135226861853344E-8     3.662981245584133E-8     0
3.714455125064839E-8      3.703401607677835E-8     0
3.685719130869559E-8      3.684604517078162E-8     0
3.5027179268938864E-8     3.92781159863883E-8      0
3.48186841314402E-8       3.963905799319415E-8     0
3.461018899394153E-8      3.92781159863883E-8      0
3.461018899394154E-8      4.0E-8                   0
3.440169385644287E-8      3.963905799319415E-8     0
3.419319871894421E-8      4.0E-8                   0
3.544392498093223E-8      3.854572994411551E-8     0
3.5235674406437524E-8     3.8917173979582456E-8    0
3.502717926893886E-8      3.855623197277662E-8     0
3.48186841314402E-8       3.8917173979582456E-8    0
3.92781159863883E-8       3.502718693061177E-8     0
3.963905799319415E-8      3.481869179311311E-8     0
3.92781159863883E-8       3.4610196655614446E-8    0
4.0E-8                    3.461019665561446E-8     0
3.963905799319415E-8      3.440170151811579E-8     0
4.0E-8                    3.419320638061714E-8     0
3.8917173979582456E-8     3.523568206811043E-8     0
3.8917173979582456E-8     3.4818691793113106E-8    0
3.8556231972776605E-8     3.5027186930611766E-8    0
3.85562319727766E-8       3.54441772056091E-8      0
3.592444984111385E-8      3.781179415516405E-8     0
3.5669332000018674E-8     3.817162442625814E-8     0
3.547799330711175E-8      3.780802093706186E-8     0
3.525258628802531E-8      3.818212645491924E-8     0
3.782435393117975E-8      3.584204647589427E-8     0
3.8195289965970754E-8     3.565267234310775E-8     0
3.7834347959164904E-8     3.5444177205609085E-8    0
3.8195289965970754E-8     3.5235682068110425E-8    0
3.6111121129916035E-8     3.745064755878242E-8     0
3.5664664595913944E-8     3.7446874340680235E-8    0
3.585133588471613E-8      3.7085727744298605E-8    0
3.6215245820126984E-8     3.707400281501026E-8     0
3.710593301281729E-8      3.6243417383966566E-8    0
3.7445499533487925E-8     3.6048469029135624E-8    0
3.707663916378124E-8      3.585702231209179E-8     0
3.7455493561473076E-8     3.565059975885044E-8     0
3.6080425330565774E-8     3.669541254247579E-8     0
3.644433526597662E-8      3.6683687613187435E-8    0
3.6309514776415416E-8     3.630509734065297E-8     0
3.672237081913438E-8      3.646745489824715E-8     0
3.669307697009833E-8      3.608105982637238E-8     0
3.92781159863883E-8       3.419320638061713E-8     0
3.963905799319415E-8      3.3984711243118474E-8    0
3.92781159863883E-8       3.37762161056198E-8      0
4.0E-8                    3.3776216105619814E-8    0
3.963905799319416E-8      3.356772096812114E-8     0
4.000000000000001E-8      3.335922583062249E-8     0
3.419319871894421E-8      3.92781159863883E-8      0
3.3984703581445546E-8     3.963905799319415E-8     0
3.3776208443946886E-8     3.92781159863883E-8      0
3.377620844394689E-8      4.0E-8                   0
3.3567713306448226E-8     3.963905799319416E-8     0
